cohort,cohort size,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
2023-04-24 00:00:00+00:00,5286,5286,2248,2284,2404,2255,2494,2319,2225
2023-05-01 00:00:00+00:00,4573,4573,2092,2101,2056,2220,2001,1940,1872
2023-05-08 00:00:00+00:00,4705,4705,2333,2209,2385,2165,2088,2019,2089
2023-05-15 00:00:00+00:00,5072,5072,2434,2601,2422,2301,2225,2264,2307
2023-05-22 00:00:00+00:00,4983,4983,2656,2461,2296,2242,2309,2337,2049
2023-05-29 00:00:00+00:00,6212,6212,3025,2781,2698,2785,2724,2431,3134
2023-06-05 00:00:00+00:00,5857,5857,2814,2694,2705,2715,2397,2967,2415
2023-06-12 00:00:00+00:00,5319,5319,2691,2643,2591,2320,2802,2314,2259
2023-06-19 00:00:00+00:00,5427,5427,2801,2757,2383,2950,2356,2240,2147
2023-06-26 00:00:00+00:00,6036,6036,3048,2624,3307,2642,2507,2382,2129
2023-07-03 00:00:00+00:00,6166,6166,2917,3502,2707,2626,2446,2213,2254
2023-07-10 00:00:00+00:00,5482,5482,3314,2572,2490,2398,2118,2146,2945
2023-07-17 00:00:00+00:00,8132,8132,3649,3384,3162,2830,2822,4064,0
2023-07-24 00:00:00+00:00,6624,6624,3056,2734,2461,2526,3381,0,0
2023-07-31 00:00:00+00:00,6041,6041,2917,2492,2557,3412,0,0,0
2023-08-07 00:00:00+00:00,5654,5654,2565,2554,3287,0,0,0,0
2023-08-14 00:00:00+00:00,5220,5220,2594,3179,0,0,0,0,0
2023-08-21 00:00:00+00:00,5464,5464,3523,0,0,0,0,0,0
2023-08-28 00:00:00+00:00,8768,8768,0,0,0,0,0,0,0
2023-09-04 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-09-11 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-09-18 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-09-25 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-10-02 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-10-09 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-10-16 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-10-23 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-10-30 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-11-06 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-11-13 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-11-20 00:00:00+00:00,32,32,8,19,14,18,12,12,12
2023-11-27 00:00:00+00:00,3775,3775,2277,1990,1873,1707,1870,1761,1931
2023-12-04 00:00:00+00:00,6901,6901,3331,3104,2788,3053,3024,3200,3109
2023-12-11 00:00:00+00:00,6156,6156,3073,2667,2943,2829,3024,2919,3571
2023-12-18 00:00:00+00:00,6361,6361,2885,3027,2972,3186,3051,3759,3644
2023-12-25 00:00:00+00:00,5833,5833,2921,2720,2902,2758,3389,3344,3158
2024-01-01 00:00:00+00:00,6775,6775,3277,3425,3225,3942,3848,3665,3633
2024-01-08 00:00:00+00:00,6687,6687,3641,3287,4009,3858,3728,3589,3959
2024-01-15 00:00:00+00:00,8036,8036,3969,4641,4492,4220,4181,4534,3964
2024-01-22 00:00:00+00:00,7584,7584,4626,4345,4049,4022,4384,3881,4018
2024-01-29 00:00:00+00:00,10626,10626,5979,5497,5423,5993,5166,5386,4675
2024-02-05 00:00:00+00:00,10600,10600,5673,5423,6010,5189,5399,4652,4461
2024-02-12 00:00:00+00:00,10146,10146,5549,5918,5136,5397,4528,4345,3876
2024-02-19 00:00:00+00:00,10207,10207,6433,5350,5466,4739,4470,4023,4708
2024-02-26 00:00:00+00:00,12477,12477,6396,6471,5535,5166,4628,5401,5746
2024-03-04 00:00:00+00:00,10491,10491,5974,5013,4754,4168,4804,5060,4943
2024-03-11 00:00:00+00:00,11157,11157,5566,5067,4374,5143,5437,5162,4363
