"Nazwa kampanii","Nazwa zestawu reklam",Cel,"Status wyświetlania","Poziom wyświetlania",Zasięg,Wyświetlenia,Częstotliwość,"Ustawienie atrybucji","Typ wyniku",Wyniki,"Wydana kwota (PLN)","Koszt wyniku",Rozpoczęcie,Zakończenie,"Początek okresu raportowania","Koniec okresu raportowania"
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]","FB - Trudne decyzje Zapalenie i ból gardła | 30.12-31.01 | 143-2024-klosterfrau",OUTCOME_SALES,completed,adset,18279,58998,3.22763827,"Kliknięcia z 7 dni",Video_Play,455,482.71,1.0609011,2024-12-30,2025-01-31,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","FB - Case study | Pacjent z NZDO |  | 144/2024 Medezin",LINK_CLICKS,completed,adset,69414,123270,1.77586654,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",527,480.57,0.91189753,2024-12-30,2025-01-31,2025-01-01,2026-03-17
"[KL] Treści klienckie [wyświetlenie strony docelowej]","FB - Case study | Pozornie stabilny pacjent | 27.12-20.01 | Novartis 148-2024",LINK_CLICKS,completed,adset,46427,105788,2.27858789,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",1496,471.19,0.31496658,2024-12-30,2025-01-20,2025-01-01,2026-03-17
"[KL] Nagrania webinarów klienckich  [odtworzenie nagrania na Remedium]","FB/IG - Webinar ból kręgosłupa",OUTCOME_SALES,completed,adset,20879,31879,1.52684516,"Kliknięcia z 7 dni",Video_Play,80,454.71,5.683875,2025-05-08,2025-05-18,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PK w POZ pediatria |  Acyklowir w infekcjach | HASCO-LEK |  czerwiec 2025",OUTCOME_SALES,completed,adset,8317,29916,3.59697006,"Kliknięcia z 7 dni",Video_Play,168,450,2.67857143,2025-05-13,2025-06-30,2025-01-01,2026-03-17
"Konferencje własne [odtworzenie nagrania na Remedium]","PK w POZ 2024: kardiologia | AstraZeneca",OUTCOME_SALES,completed,adset,7228,22023,3.04690094,"Kliknięcia z 7 dni",Video_Play,165,450,2.72727273,2025-01-20,2025-04-15,2025-01-01,2026-03-17
"[KL] Webinary klienckie [dołączenie do wydarzenia Facebook]","Cardiochallenge | 01.10.2025",OUTCOME_ENGAGEMENT,completed,adset,19847,44917,2.2631632,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Reakcje na zaproszenia na wydarzenia",139,450,3.23741007,2025-09-25,2025-10-01,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PK w POZ pediatria |  Magnez w diecie dziecka | Opella | czerwiec 2025",OUTCOME_SALES,completed,adset,9299,28084,3.02010969,"Kliknięcia z 7 dni",Video_Play,135,450,3.33333333,2025-05-13,2025-06-30,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs nadciśnienie tętnicze [111-2024 Servier] - odcinek 6",OUTCOME_SALES,completed,adset,12053,33131,2.74877624,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,117,439.93,3.76008547,2025-07-08,2025-09-30,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs nadciśnienie tętnicze [111-2024 Servier] - odcinek 5",OUTCOME_SALES,completed,adset,11369,30014,2.63998593,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,138,439.89,3.1876087,2025-07-08,2025-09-30,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odtworzenie nagrania]","Kurs nadciśnienie tętnicze [111-2024 Servier] - odcinek 3",OUTCOME_SALES,completed,adset,14606,38136,2.61098179,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",Video_Play,139,439.87,3.16453237,2025-07-09,2025-09-30,2025-01-01,2026-03-17
"Treści własne [wyświetlenie strony docelowej]","Ankieta | Program zniżkowy dla lekarzy | maj 2025 |",LINK_CLICKS,completed,adset,20578,26155,1.27101759,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Wyświetlenia strony docelowej",63,425.26,6.75015873,2025-05-08,2025-05-19,2025-01-01,2026-03-17
"[KL] Kursy sponsorowane [odblokowanie dostępu do kursu]","Kurs | Kardiologia w ciąży | [154-2025 Egis]",OUTCOME_SALES,inactive,adset,8411,35126,4.17619784,"Kliknięcia z 7 dni, wyświetlenia z 1 dnia lub wyświetlenia z 1 dnia przez zaangażowanych odbiorców",,,412.62,,2026-02-09,2026-03-06,2025-01-01,2026-03-17
"Webinary własne [zapis na wydarzenie]","Agresja wobec medyków | 08.07",OUTCOME_LEADS,completed,adset,26168,50326,1.92318863,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia","Spotkania zaplanowane w witrynie",47,399.99,8.51042553,2025-07-03,2025-07-08,2025-01-01,2026-03-17
